logged_at,api_time,city,latitude,longitude,temperature_c,windspeed_kmh,winddirection_deg,weather_code,description_ro
2025-12-04 11:14:49,2025-12-04T13:00,București,44.4268,26.1025,11.8,10.5,82,3,Innorat
2025-12-05 07:15:59,2025-12-05T09:15,București,44.4268,26.1025,10.5,13.9,73,3,Innorat
2025-12-06 07:12:43,2025-12-06T09:00,București,44.4268,26.1025,4.2,19.4,47,61,Ploaie slaba
2025-12-07 07:13:22,2025-12-07T09:00,București,44.4268,26.1025,3.7,6.2,36,3,Innorat
2025-12-08 07:19:02,2025-12-08T09:15,București,44.4268,26.1025,4.4,4.1,135,3,Innorat
2025-12-09 07:17:22,2025-12-09T09:15,București,44.4268,26.1025,5.3,4.0,243,3,Innorat
2025-12-10 07:17:59,2025-12-10T09:15,București,44.4268,26.1025,4.5,6.2,249,3,Innorat
2025-12-11 07:19:37,2025-12-11T09:15,București,44.4268,26.1025,2.5,3.8,221,45,Ceata
2025-12-12 07:18:44,2025-12-12T09:15,București,44.4268,26.1025,4.7,1.1,252,45,Ceata
2025-12-13 07:13:40,2025-12-13T09:00,București,44.4268,26.1025,4.4,3.9,248,45,Ceata
2025-12-14 07:14:04,2025-12-14T09:00,București,44.4268,26.1025,2.8,8.8,235,3,Innorat
2025-12-15 07:19:47,2025-12-15T09:15,București,44.4268,26.1025,1.4,7.4,247,3,Innorat
2025-12-16 07:18:32,2025-12-16T09:15,București,44.4268,26.1025,-1.4,4.0,260,45,Ceata
2025-12-17 07:18:03,2025-12-17T09:15,București,44.4268,26.1025,-1.9,5.1,225,45,Ceata
2025-12-18 07:17:45,2025-12-18T09:15,București,44.4268,26.1025,-0.2,9.2,244,45,Ceata
2025-12-19 07:16:47,2025-12-19T09:15,București,44.4268,26.1025,0.1,1.8,307,45,Ceata
2025-12-20 07:12:46,2025-12-20T09:00,București,44.4268,26.1025,0.6,5.7,55,45,Ceata
2025-12-21 07:14:10,2025-12-21T09:00,București,44.4268,26.1025,2.8,2.3,231,45,Ceata
2025-12-22 07:19:36,2025-12-22T09:15,București,44.4268,26.1025,3.0,5.9,79,3,Innorat
2025-12-23 07:19:03,2025-12-23T09:15,București,44.4268,26.1025,2.2,5.6,105,3,Innorat
2025-12-24 07:19:01,2025-12-24T09:15,București,44.4268,26.1025,3.4,12.6,59,3,Innorat
2025-12-25 07:17:13,2025-12-25T09:15,București,44.4268,26.1025,-2.0,22.2,50,3,Innorat
2025-12-26 07:16:58,2025-12-26T09:15,București,44.4268,26.1025,-4.9,10.8,249,0,Cer senin
2025-12-27 07:14:06,2025-12-27T09:00,București,44.4268,26.1025,-3.0,5.4,233,48,Ceata depunatoare
2025-12-28 07:14:56,2025-12-28T09:00,București,44.4268,26.1025,-0.4,5.8,277,3,Innorat
2025-12-29 07:20:51,2025-12-29T09:15,București,44.4268,26.1025,-0.2,8.8,251,0,Cer senin
2025-12-30 07:18:11,2025-12-30T09:15,București,44.4268,26.1025,-3.2,2.3,288,0,Cer senin
2025-12-31 07:18:44,2025-12-31T09:15,București,44.4268,26.1025,-3.9,10.1,276,0,Cer senin
2026-01-01 07:18:03,2026-01-01T09:15,București,44.4268,26.1025,-5.9,6.6,248,0,Cer senin
2026-01-02 07:19:30,2026-01-02T09:15,București,44.4268,26.1025,-4.0,2.5,225,2,Partial înnorat
2026-01-03 07:14:23,2026-01-03T09:00,București,44.4268,26.1025,1.8,3.6,233,2,Partial înnorat
2026-01-04 07:16:34,2026-01-04T09:15,București,44.4268,26.1025,1.1,10.4,34,61,Ploaie slaba
2026-01-05 07:23:34,2026-01-05T09:15,București,44.4268,26.1025,0.6,17.3,54,3,Innorat
2026-01-06 07:20:47,2026-01-06T09:15,București,44.4268,26.1025,1.9,0.8,243,45,Ceata
2026-01-07 07:20:17,2026-01-07T09:15,București,44.4268,26.1025,3.5,6.4,47,45,Ceata
2026-01-08 07:20:04,2026-01-08T09:15,București,44.4268,26.1025,1.2,7.1,240,3,Innorat
2026-01-09 07:20:43,2026-01-09T09:15,București,44.4268,26.1025,-3.2,9.5,259,0,Cer senin
2026-01-10 07:14:16,2026-01-10T09:00,București,44.4268,26.1025,0.2,1.5,225,3,Innorat
2026-01-11 07:16:27,2026-01-11T09:15,București,44.4268,26.1025,-4.2,5.0,120,71,Ninsoare slaba
2026-01-12 07:21:49,2026-01-12T09:15,București,44.4268,26.1025,-6.2,8.4,245,3,Innorat
2026-01-13 07:20:15,2026-01-13T09:15,București,44.4268,26.1025,-10.0,4.1,225,0,Cer senin
2026-01-14 07:20:19,2026-01-14T09:15,București,44.4268,26.1025,-6.0,2.3,252,2,Partial înnorat
